File Name,Last Modified Time,File Size (Bytes),File Type Value,Permissions Value,Last Modified Time Pro,File Size (Bytes) Pro,File Type Value Pro,Permissions Value Pro,Score,important
11班-23级德育成绩单活动记录1030-班长 (1).xlsx,5785.901389,12547.0,1,1,0.4456313854011145,0.00017879694233331771,0.0,0.0,-0.8909051769175624,0
11班.xlsx,4601.808889,12007.0,1,1,0.3544323231043981,0.0001697226614254238,0.0,0.0,-0.7085252008859454,0
2022秋集合论与图论.pdf,1673.641667,111289.0,1,3,0.12890424578410334,0.001838079619013436,0.0,1.0,0.2458676676698202,0
2023311B21-唐梓涵-国家奖学金答辩ppt.pptx,4.209444444,8266328.0,1,3,0.0003242123280764999,0.13887718091684775,0.0,1.0,0.7771059371775425,1
2023311B26-陈韬之-华萌奖学金答辩ppt.pptx,4.231111111,10387759.0,1,3,0.00032588109948877993,0.17452618243668916,0.0,1.0,0.8484006026744008,1
2023_微积分B_先修_回忆版试卷_参考答案.pdf,6450.196944,208866.0,1,1,0.49679557375960587,0.0034777853748459682,0.0,0.0,-0.9866355767695199,0
2023_微积分先修_试题.pdf,11424.70333,441354.0,1,1,0.8799331392726277,0.007384565781724575,0.0,0.0,-1.7450971469818064,0
2023_微积分先修_试题解答.pdf,11444.04306,818973.0,1,3,0.8814226894902599,0.0137301600079431,0.0,1.0,-1.2353850589646336,0
2023年秋数理逻辑期末考试回忆版试题.pdf,1673.643889,1164076.0,1,3,0.12890441692302737,0.01952934808971518,0.0,1.0,0.2812498623333756,0
2025_MCM_Problem_C.pdf,774.4858333,5119355.0,1,3,0.059651067597380314,0.08599474200655564,0.0,1.0,0.5526873488183507,0
21计科-集合论与图论期末-v0.8.pdf,1673.638056,328284.0,1,1,0.1289039676640967,0.005484512184955004,0.0,0.0,-0.2468389109582834,0
23级基础学部本科生2023-2024年度学业奖学金公示.xlsx,3832.278889,39507.0,1,1,0.2951629548673793,0.0006318388187718746,0.0,0.0,-0.5890622320972149,0
app.py,18.04416667,17252.0,3,1,0.0013897656477257177,0.00025786081579931965,1.0,0.0,0.8977361903361473,1
backup.html,18.0875,4922.0,3,1,0.001393103190242197,5.0664735069074526e-05,1.0,0.0,0.8973151230896538,1
