File Name,Last Modified Time,File Size (Bytes),File Type Value,Permissions Value
11班-23级德育成绩单活动记录1030-班长 (1).xlsx,5785.901389,12547.0,1,1
11班.xlsx,4601.808889,12007.0,1,1
2022秋集合论与图论.pdf,1673.641667,111289.0,1,3
2023311B21-唐梓涵-国家奖学金答辩ppt.pptx,4.209444444,8266328.0,1,3
2023311B26-陈韬之-华萌奖学金答辩ppt.pptx,4.231111111,10387759.0,1,3
2023_微积分B_先修_回忆版试卷_参考答案.pdf,6450.196944,208866.0,1,1
2023_微积分先修_试题.pdf,11424.70333,441354.0,1,1
2023_微积分先修_试题解答.pdf,11444.04306,818973.0,1,3
2023年秋数理逻辑期末考试回忆版试题.pdf,1673.643889,1164076.0,1,3
2025_MCM_Problem_C.pdf,774.4858333,5119355.0,1,3
21计科-集合论与图论期末-v0.8.pdf,1673.638056,328284.0,1,1
23级基础学部本科生2023-2024年度学业奖学金公示.xlsx,3832.278889,39507.0,1,1
app.py,18.04416667,17252.0,3,1
backup.html,18.0875,4922.0,3,1
backup_now.html,18.0875,2773.0,3,1
base.html,70.67416667,5491.0,3,1
base_style.html,70.67416667,3897.0,3,1
Client_Mac.py,47.72694444,7609.0,3,1
Client_Win.py,70.67416667,4196.0,3,1
correlation analysis.py,698.7808333,1907.0,3,1
Data processing.py,742.3152778,10735.0,3,3
Data processing2.py,741.8238889,2266.0,3,3
data_2028.py,743.5044444,2109.0,3,3
edit.html,70.67416667,3744.0,3,1
flow chart.jpg,684.1986111,938130.0,1,3
login.html,70.67416667,4993.0,3,1
MAE and RMSE.png,699.185,86157.0,1,1
medal variation.py,692.8341667,3123.0,3,1
monitor.html,18.38666667,12769.0,3,1
Our Work.jpg,700.1511111,1932179.0,1,3
pie-simple.png,683.7508333,137347.0,1,1
QQ图片20240505150924.gif,7103.516389,121622.0,1,1
QQ图片20240505150936.gif,7103.513056,67083.0,1,1
QQ图片20240622203752.jpg,5946.040833,47708.0,1,1
QQ图片20240627201539.jpg,5826.411389,27265.0,1,1
summerOly_athletes.csv,1651.721389,23809049.0,1,3
入团申请书 陈韬之.docx,10241.63083,17241.0,1,1
入团申请书稿纸电子版（手写）(1).xls,10242.14556,22528.0,1,1
公示版-11班-2023-2024年度哈工大（深圳）基础学部2023级本科生综合测评表11班.xlsx,3863.454444,18305.0,1,1
华萌奖学金申请审批表.doc,1941.7025,48640.0,1,1
华萌奖学金答辩演讲稿.docx,1513.841111,18506.0,1,1
名帅效应的影响.png,690.5038889,1437548.0,1,3
团课心得.docx,6623.095278,18015.0,1,1
微信图片_20230903150413.jpg,12983.60389,11511.0,1,1
微信图片_20231220095010.jpg,10396.93028,52823.0,1,1
微信图片_20231225205230.jpg,10265.7975,12411.0,1,1
微信图片_20231225205254.jpg,10265.79111,13165.0,1,1
微信图片_20240122224337.jpg,9591.947778,89997.0,1,1
微信图片_20240523222330.jpg,6664.282778,53199.0,1,1
微信图片_20240627151659.jpg,5831.388889,289003.0,1,3
微信图片_20240928185226.png,3595.794167,61181.0,1,1
微信图片_20250127145917.png,695.685,233807.0,1,3
微积分B2023年期末试题（哈工大）.pdf,5658.550278,483725.0,1,3
微积分春季期末试题集答案.pdf,5981.129722,3317019.0,1,3
总的思路（部分已作废）.docx,750.0147222,252190.0,1,1
新建 Microsoft PowerPoint 演示文稿.pptx,690.5019444,656254.0,1,3
电子签名.jpg,1849.415556,18522.0,1,1
祖国或以梦为马朗诵稿.docx,6744.621944,15684.0,1,1
计算机与电子通信11班 大学物理作业成绩.xls,5972.332222,26112.0,1,1
进步退步.py,692.5622222,3144.0,3,1
微信图片_20250127145917.png,575.685,408420.1258024032,1,1
QQ图片20240505150936.gif,7031.513056,198234.60512711725,1,3
summerOly_athletes.csv,1483.721389,59510754.641055554,1,3
flow chart.jpg,588.1986111,2169842.3945505354,3,1
23级基础学部本科生2023-2024年度学业奖学金公示.xlsx,3640.278889,110925.95209389835,1,1
2023年秋数理逻辑期末考试回忆版试题.pdf,1457.643889,1785927.3852909587,1,1
2022秋集合论与图论.pdf,1577.641667,271721.0020683016,1,1
login.html,0.0,9237.377816864777,3,1
Data processing2.py,597.8238889,6090.1988977190385,1,3
祖国或以梦为马朗诵稿.docx,6576.621944,43213.2197872954,3,3
电子签名.jpg,1729.415556,36554.98221544231,3,1
11班-23级德育成绩单活动记录1030-班长 (1).xlsx,5713.901389,34318.21627809713,1,1
名帅效应的影响.png,474.5038889,3076094.939800883,1,3
微信图片_20231225205230.jpg,10193.7975,37193.4753391175,1,3
电子签名.jpg,1705.415556,40337.96101574166,1,3
2022秋集合论与图论.pdf,1457.641667,316754.1109321072,1,3
Client_Win.py,0.0,9370.577408336367,3,1
11班-23级德育成绩单活动记录1030-班长 (1).xlsx,5665.901389,19494.435012124395,1,1
login.html,0.0,9398.096165334486,3,1
祖国或以梦为马朗诵稿.docx,6528.621944,35119.515708831415,3,1
app.py,0.0,49943.102605866596,3,1
公示版-11班-2023-2024年度哈工大（深圳）基础学部2023级本科生综合测评表11班.xlsx,3839.454444,32313.14393280685,3,1
总的思路（部分已作废）.docx,510.01472220000005,690426.9244156039,1,3
公示版-11班-2023-2024年度哈工大（深圳）基础学部2023级本科生综合测评表11班.xlsx,3623.454444,40527.139690656746,3,1
2023_微积分先修_试题.pdf,11184.70333,955847.4211578625,3,1
入团申请书 陈韬之.docx,10025.63083,33456.05833992471,1,3
微信图片_20240523222330.jpg,6616.282778,94828.66936421313,3,3
Client_Mac.py,0.0,17247.64201726668,1,1
祖国或以梦为马朗诵稿.docx,6552.621944,32295.83085981718,1,3
华萌奖学金申请审批表.doc,1701.7025,117376.33794941066,3,3
correlation analysis.py,554.7808333,3644.3343211286656,1,3
入团申请书 陈韬之.docx,10193.63083,26549.313361603137,3,3
app.py,0.0,27155.86931949546,1,3
微信图片_20240523222330.jpg,6592.282778,125100.61635723674,1,1
微信图片_20231225205230.jpg,10193.7975,23147.92108305483,3,1
QQ图片20240505150924.gif,7031.516389,248282.11250029015,1,3
总的思路（部分已作废）.docx,582.0147222,712341.2286911083,3,1
2022秋集合论与图论.pdf,1577.641667,201690.54922151245,3,3
2023_微积分先修_试题解答.pdf,11228.04306,1814292.8042094933,3,1
edit.html,0.0,10514.121455804774,1,1
华萌奖学金答辩演讲稿.docx,1489.841111,29002.366756498035,1,1
微信图片_20240523222330.jpg,6520.282778,95355.07543588564,3,1
Client_Mac.py,0.0,22706.11120192913,1,3
QQ图片20240627201539.jpg,5586.411389,73138.86806035368,3,1
微信图片_20231220095010.jpg,10276.93028,130557.70636937596,3,3
2023_微积分B_先修_回忆版试卷_参考答案.pdf,6354.196944,381149.2047035134,1,3
华萌奖学金答辩演讲稿.docx,1393.841111,34715.97161253058,3,3
QQ图片20240505150936.gif,6887.513056,100678.06858892848,1,3
11班.xlsx,4553.808889,20973.6401168616,1,1
祖国或以梦为马朗诵稿.docx,6720.621944,43444.499942566894,3,1
2023_微积分B_先修_回忆版试卷_参考答案.pdf,6258.196944,619231.3954247402,1,1
入团申请书 陈韬之.docx,10193.63083,28587.398830904065,3,1
2023_微积分B_先修_回忆版试卷_参考答案.pdf,6306.196944,501974.3385545171,1,1
Client_Win.py,46.674166670000005,10253.364967204187,1,3
2023年秋数理逻辑期末考试回忆版试题.pdf,1481.643889,3351788.5997041278,1,3
pie-simple.png,443.75083329999995,239721.26835957004,1,3
Client_Mac.py,0.0,17524.51873780062,3,3
微积分B2023年期末试题（哈工大）.pdf,5466.550278,1099713.9172085477,1,1
QQ图片20240622203752.jpg,5730.040833,93884.8199053227,1,3
